Module,Path,Status,Version,Priority,LastUpdated,Owner,Dependencies,Notes
CLI Core,cli/__main__.py,Complete,v1.2,High,2025-06-18,CLI Team,"click,httpx",Global entry point installed
CLI Installer,install.py,Complete,v1.1,High,2025-06-18,DevOps Team,,Makes CLI globally available
File Ops,cli/file_ops.py,Complete,v1.3,High,2025-06-18,CLI Team,"click,pathlib",Tagging and file management
AI Tools,cli/ai_tools.py,Complete,v1.2,High,2025-06-18,AI Team,"click,httpx",AI model interactions
Memory Ops,cli/memory.py,Complete,v1.1,Medium,2025-06-18,AI Team,"",Memory management commands
Interactive Shell,cli/shell.py,Complete,v1.0,Medium,2025-06-18,CLI Team,"cmd,click",REPL interface
Setup Config,setup.py,Complete,v1.1,High,2025-06-18,DevOps Team,"setuptools",Package configuration
Security,api/security.py,Complete,v1.4,Critical,2025-06-18,Security Team,"fastapi",API key verification
Think Router,api/routes/think.py,Complete,v1.1,Medium,2025-06-18,AI Team,"fastapi",Knowledge integration
Bot Router,api/routes/bot.py,Needs Testing,v0.9,High,2025-06-18,Integration Team,"telegram",Telegram bot setup
Telegram Router,api/routes/telegram.py,Needs Testing,v0.9,High,2025-06-18,Integration Team,"telegram",VSCode integration
DeepSeek Integration,deepseek_integration.py,Complete,v1.3,High,2025-06-18,AI Team,"aiohttp",Full API client
Learn Mode,cli/learn_mode.py,Complete,v1.1,Medium,2025-06-18,AI Team,"",Interactive learning
Help System,cli/help.py,Needs Update,v0.8,Medium,2025-06-18,Doc Team,"rich",Command documentation
Plain Knowledge,cli/plain_knowledge.py,Complete,v1.2,Medium,2025-06-18,AI Team,"",Text knowledge management
Glossary Sync,cli/glossary_sync.py,Complete,v1.1,Low,2025-06-18,AI Team,"csv",CSV glossary importer
Order Manager,cli/order_manager.py,Needs Testing,v0.9,Medium,2025-06-18,System Team,"threading",Background tasks
Report Generator,cli/report.py,Complete,v1.1,Medium,2025-06-18,System Team,"click",Project analysis
Core Router,api/routes/core.py,Complete,v1.3,High,2025-06-18,Core Team,"fastapi",WebSocket endpoints
VSCode Router,api/routes/vscode.py,Complete,v1.2,High,2025-06-18,Integration Team,"fastapi",VSCode sync
AI Router,api/routes/ai.py,Complete,v1.3,High,2025-06-18,AI Team,"openai",AI routing logic
Files API,api/files.py,Complete,v1.2,High,2025-06-18,System Team,"fastapi",File management
