Directory,File,Action,Color,Status,Instructions,Version
app,main.py,Update,Blue (#60A5FA),Active,"Main application entry point","v2.0"
app/core,file_tagger.py,Update,Blue (#60A5FA),Active,"File tagging system","v1.2"
app/systems/windows,windows_tools.py,Keep,Green (#4ADE80),Reference,"Windows-specific utilities","v1.5"
app/systems/linux,linux_tools.py,Update,Blue (#60A5FA),Active,"Linux system utilities","v2.1"
app/systems/linux,system_services.py,Update,Blue (#60A5FA),Active,"Linux service management","v1.8"
app/systems/sync_core,sync_core.py,Merge,Purple (#A78BFA),Pending,"Core sync functionality","v1.4"
app/ai,memory_engine.py,Update,Blue (#60A5FA),Active,"Memory storage service","v1.3"
app/ai,ai_logic.py,Update,Blue (#60A5FA),Active,"Core AI functions","v1.1"
app/config,paths.py,Keep,Green (#4ADE80),Active,"Path management","v1.0"
app/config,settings.py,Update,Blue (#60A5FA),Active,"Configuration settings","v2.2"
app/controllers,abd_controller.py,Fix,Red (#F87171),Pending,"Fix ADB controller typos","v0.8"
app/controllers,conflict_resolver.py,Fix,Red (#F87171),Pending,"Fix syntax errors","v0.9"
app/workflows,workflow_orchestrator.py,Update,Blue (#60A5FA),Active,"Workflow management","v2.5"
app/dispatcher,dispatcher.py,Update,Blue (#60A5FA),Active,"Conflict resolution system","v2.3"
app/commands,commands.py,Create,Green (#4ADE80),New,"CLI command definitions","v1.0"
app/user,user_flow.py,Create,Green (#4ADE80),New,"User interaction flows","v1.0"
